Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,44.099998,44.349998,43.799999,44.200001,44.200001,1790247
2015-01-02,44.200001,45.299999,44.200001,44.950001,44.950001,2926043
2015-01-05,45.000000,46.000000,44.849998,45.099998,45.099998,3236445
2015-01-06,44.750000,45.750000,43.549999,44.049999,44.049999,5952755
2015-01-07,43.900002,44.700001,43.299999,44.150002,44.150002,3820161
2015-01-08,44.599998,45.650002,44.450001,45.450001,45.450001,4252913
2015-01-09,46.000000,46.099998,44.450001,44.750000,44.750000,3287270
2015-01-12,45.000000,46.900002,44.549999,46.750000,46.750000,6675511
2015-01-13,46.900002,47.099998,45.150002,45.450001,45.450001,3686989
2015-01-14,45.400002,46.200001,45.200001,45.500000,45.500000,2886982
2015-01-15,46.049999,46.549999,45.650002,45.950001,45.950001,2940294
2015-01-16,45.950001,46.299999,45.549999,45.799999,45.799999,2428199
2015-01-19,46.099998,46.900002,45.900002,46.650002,46.650002,2679229
2015-01-20,46.650002,46.900002,46.299999,46.549999,46.549999,2863085
2015-01-21,46.549999,46.700001,45.700001,46.000000,46.000000,2382167
2015-01-22,46.250000,48.250000,45.900002,47.250000,47.250000,3128197
2015-01-23,48.000000,51.349998,47.400002,50.849998,50.849998,16688620
2015-01-27,51.299999,51.599998,49.650002,50.000000,50.000000,7579859
2015-01-28,49.900002,50.900002,48.200001,49.750000,49.750000,9649877
2015-01-29,50.200001,52.099998,49.349998,51.599998,51.599998,13789164
2015-01-30,52.000000,53.099998,50.500000,51.950001,51.950001,17770031
2015-02-02,52.400002,52.750000,51.299999,51.750000,51.750000,5532687
2015-02-03,51.950001,52.000000,49.599998,49.849998,49.849998,4843071
2015-02-04,50.200001,51.299999,48.799999,50.150002,50.150002,6267401
2015-02-05,50.150002,50.150002,46.849998,47.450001,47.450001,4151083
2015-02-06,47.549999,48.200001,46.799999,47.099998,47.099998,3076685
2015-02-09,46.799999,47.900002,46.049999,46.400002,46.400002,3115777
2015-02-10,46.299999,47.599998,45.650002,46.750000,46.750000,4149516
2015-02-11,47.000000,49.799999,47.000000,49.400002,49.400002,5724207
2015-02-12,49.599998,52.400002,49.400002,51.950001,51.950001,10943728
2015-02-13,51.400002,52.349998,50.750000,50.950001,50.950001,5125304
2015-02-16,51.049999,52.049999,49.599998,50.500000,50.500000,5007533
2015-02-18,50.900002,51.950001,50.650002,51.450001,51.450001,3827277
2015-02-19,51.950001,55.700001,51.400002,55.349998,55.349998,14870563
2015-02-20,55.950001,56.000000,54.500000,54.799999,54.799999,11644548
2015-02-23,55.099998,57.650002,54.450001,57.000000,57.000000,17445479
2015-02-24,56.950001,57.900002,55.250000,56.700001,56.700001,14060818
2015-02-25,57.150002,57.400002,55.500000,55.849998,55.849998,6905522
2015-02-26,56.000000,56.000000,54.650002,54.900002,54.900002,6990473
2015-02-27,55.400002,57.549999,55.150002,57.400002,57.400002,8484593
2015-02-28,null,null,null,null,null,null
2015-03-02,56.450001,56.549999,54.549999,55.349998,55.349998,5426406
2015-03-03,56.500000,57.500000,55.700001,57.099998,57.099998,6875563
2015-03-04,57.900002,59.349998,56.000000,56.599998,56.599998,13880606
2015-03-05,58.299999,60.150002,56.599998,59.400002,59.400002,24828195
2015-03-09,58.150002,58.150002,54.500000,54.950001,54.950001,17949958
2015-03-10,55.000000,55.450001,51.900002,52.250000,52.250000,11832317
2015-03-11,52.799999,53.250000,50.650002,51.549999,51.549999,11185937
2015-03-12,51.799999,53.099998,51.799999,52.799999,52.799999,5831158
2015-03-13,53.299999,53.299999,49.700001,50.000000,50.000000,7207712
2015-03-16,50.150002,51.049999,49.400002,50.400002,50.400002,4749638
2015-03-17,50.900002,51.099998,49.549999,50.450001,50.450001,4967676
2015-03-18,50.700001,50.900002,49.849998,50.150002,50.150002,3976763
2015-03-19,50.500000,50.849998,47.750000,48.049999,48.049999,5218422
2015-03-20,48.099998,48.099998,46.500000,47.500000,47.500000,7351440
2015-03-23,47.900002,47.900002,46.599998,46.750000,46.750000,3762662
2015-03-24,46.650002,47.299999,45.750000,46.099998,46.099998,4575468
2015-03-25,46.099998,46.750000,45.849998,46.450001,46.450001,3297809
2015-03-26,46.000000,47.500000,45.900002,46.349998,46.349998,4091037
2015-03-27,46.549999,47.099998,44.650002,46.000000,46.000000,6177625
2015-03-30,46.200001,47.799999,46.200001,47.500000,47.500000,3645315
2015-03-31,47.799999,48.750000,46.900002,47.299999,47.299999,5860485
2015-04-01,46.700001,48.000000,46.700001,47.750000,47.750000,3015649
2015-04-06,47.900002,47.950001,46.650002,47.349998,47.349998,3414042
2015-04-07,47.450001,48.950001,47.049999,48.650002,48.650002,4573142
2015-04-08,48.700001,49.500000,48.099998,48.549999,48.549999,3876456
2015-04-09,49.299999,50.250000,48.900002,49.349998,49.349998,6722073
2015-04-10,49.400002,50.450001,48.700001,49.799999,49.799999,4018572
2015-04-13,49.599998,50.200001,48.799999,49.500000,49.500000,3240431
2015-04-15,49.500000,50.150002,48.500000,48.849998,48.849998,3032189
2015-04-16,48.849998,49.299999,47.700001,48.049999,48.049999,3422646
2015-04-17,48.000000,48.650002,47.049999,47.500000,47.500000,2773109
2015-04-20,47.500000,47.500000,45.150002,45.549999,45.549999,3382155
2015-04-21,46.250000,46.250000,44.900002,45.049999,45.049999,3229734
2015-04-22,45.349998,45.700001,44.299999,45.349998,45.349998,2714408
2015-04-23,45.900002,45.900002,44.049999,44.400002,44.400002,3220619
2015-04-24,44.250000,44.500000,43.049999,43.650002,43.650002,3968464
2015-04-27,43.750000,44.000000,41.799999,42.150002,42.150002,3718096
2015-04-28,42.200001,42.700001,41.299999,42.450001,42.450001,5475322
2015-04-29,42.900002,43.299999,42.099998,42.849998,42.849998,2566960
2015-04-30,43.000000,43.200001,42.200001,42.950001,42.950001,4269018
2015-05-04,43.299999,45.049999,43.099998,44.849998,44.849998,4344402
2015-05-05,44.549999,45.450001,44.200001,44.549999,44.549999,3012449
2015-05-06,44.299999,44.400002,41.900002,42.049999,42.049999,3864400
2015-05-07,42.099998,42.349998,39.799999,40.450001,40.450001,4653215
2015-05-08,41.000000,42.150002,41.000000,41.799999,41.799999,3506710
2015-05-11,42.000000,44.299999,41.599998,43.400002,43.400002,7612364
2015-05-12,42.700001,42.700001,40.049999,40.299999,40.299999,5855277
2015-05-13,40.500000,41.500000,40.150002,41.099998,41.099998,4862916
2015-05-14,40.650002,41.500000,40.400002,41.150002,41.150002,3311023
2015-05-15,41.599998,42.150002,40.799999,41.099998,41.099998,3673391
2015-05-18,41.700001,42.200001,41.500000,41.900002,41.900002,2757496
2015-05-19,42.250000,42.450001,41.500000,41.849998,41.849998,2630727
2015-05-20,42.000000,42.349998,41.500000,41.700001,41.700001,2005494
2015-05-21,41.700001,41.950001,40.799999,41.150002,41.150002,2364853
2015-05-22,41.200001,41.349998,40.200001,40.349998,40.349998,3231189
2015-05-25,40.400002,40.799999,40.150002,40.349998,40.349998,1932577
2015-05-26,40.750000,40.750000,40.150002,40.200001,40.200001,1469144
2015-05-27,40.049999,40.799999,39.450001,39.900002,39.900002,2664012
2015-05-28,40.000000,40.150002,38.299999,38.549999,38.549999,6011485
2015-05-29,38.650002,39.200001,38.500000,38.950001,38.950001,3815975
2015-06-01,39.150002,39.150002,37.049999,37.349998,37.349998,5623193
2015-06-02,37.450001,37.599998,36.049999,36.250000,36.250000,6884916
2015-06-03,36.500000,36.500000,29.600000,32.400002,32.400002,31902963
2015-06-04,33.150002,33.450001,31.000000,31.900000,31.900000,10704799
2015-06-05,32.000000,32.599998,31.049999,31.500000,31.500000,5022277
2015-06-08,31.900000,31.900000,29.799999,30.450001,30.450001,6466856
2015-06-09,30.299999,31.600000,29.900000,30.799999,30.799999,4663460
2015-06-10,30.950001,31.350000,30.350000,30.700001,30.700001,3989497
2015-06-11,31.000000,31.100000,29.200001,29.400000,29.400000,5789287
2015-06-12,29.549999,29.700001,28.400000,29.200001,29.200001,3822456
2015-06-15,29.750000,30.350000,29.049999,29.700001,29.700001,5307229
2015-06-16,29.700001,29.750000,28.100000,29.100000,29.100000,8943406
2015-06-17,29.400000,29.900000,29.000000,29.400000,29.400000,7976379
2015-06-18,29.500000,29.500000,26.500000,27.450001,27.450001,28540653
2015-06-19,27.700001,28.450001,26.850000,27.500000,27.500000,14496297
2015-06-22,27.600000,28.400000,26.799999,28.000000,28.000000,12069164
2015-06-23,28.000000,30.000000,27.850000,29.700001,29.700001,17027319
2015-06-24,30.049999,30.900000,29.400000,29.750000,29.750000,14904735
2015-06-25,29.700001,31.049999,29.350000,30.700001,30.700001,18551263
2015-06-26,30.950001,30.950001,29.150000,29.750000,29.750000,13253922
2015-06-29,29.000000,29.150000,27.500000,28.900000,28.900000,8305620
2015-06-30,28.750000,29.400000,28.600000,29.200001,29.200001,7178794
2015-07-01,29.350000,30.450001,29.049999,29.900000,29.900000,7436755
2015-07-02,30.200001,30.200001,29.299999,29.450001,29.450001,5694224
2015-07-03,29.600000,29.750000,28.700001,28.900000,28.900000,5539235
2015-07-06,28.650000,30.150000,28.200001,29.900000,29.900000,7566838
2015-07-07,30.150000,31.150000,30.049999,30.549999,30.549999,10695236
2015-07-08,30.250000,30.450001,29.450001,29.950001,29.950001,8213942
2015-07-09,30.049999,30.400000,29.799999,29.900000,29.900000,3961924
2015-07-10,30.100000,30.250000,28.150000,28.500000,28.500000,45818730
2015-07-13,28.650000,28.850000,28.150000,28.500000,28.500000,6796336
2015-07-14,28.850000,29.299999,28.600000,28.700001,28.700001,7832071
2015-07-15,28.900000,29.049999,27.799999,28.049999,28.049999,7233942
2015-07-16,29.000000,29.600000,28.650000,29.299999,29.299999,46385293
2015-07-17,29.549999,30.500000,29.250000,30.049999,30.049999,22065409
2015-07-20,30.049999,30.250000,28.950001,29.100000,29.100000,12837038
2015-07-21,29.000000,29.250000,27.850000,28.049999,28.049999,11169883
2015-07-22,28.400000,28.850000,27.950001,28.650000,28.650000,9333990
2015-07-23,28.799999,29.100000,28.250000,28.450001,28.450001,9304355
2015-07-24,28.600000,28.600000,27.600000,27.850000,27.850000,10112541
2015-07-27,27.900000,27.900000,26.950001,27.049999,27.049999,11769076
2015-07-28,27.100000,27.350000,26.650000,26.900000,26.900000,10715474
2015-07-29,27.000000,27.150000,26.299999,26.600000,26.600000,11329770
2015-07-30,27.000000,27.350000,26.500000,27.049999,27.049999,13482479
2015-07-31,27.500000,27.700001,27.100000,27.400000,27.400000,9191454
2015-08-03,27.400000,28.100000,27.350000,27.950001,27.950001,8355002
2015-08-04,28.250000,29.049999,27.600000,28.450001,28.450001,15909967
2015-08-05,28.650000,29.500000,28.250000,28.650000,28.650000,16196119
2015-08-06,28.549999,29.350000,28.100000,28.900000,28.900000,6574266
2015-08-07,28.700001,29.000000,28.250000,28.400000,28.400000,5726924
2015-08-10,28.549999,28.900000,27.400000,27.700001,27.700001,12166021
2015-08-11,27.700001,27.900000,26.850000,27.049999,27.049999,8906711
2015-08-12,26.850000,27.049999,25.549999,25.950001,25.950001,7564942
2015-08-13,26.400000,26.750000,25.650000,25.950001,25.950001,8372934
2015-08-14,26.200001,27.100000,25.850000,26.950001,26.950001,7280070
2015-08-17,27.100000,27.100000,26.100000,26.650000,26.650000,4155760
2015-08-18,26.799999,27.350000,26.299999,27.000000,27.000000,5142593
2015-08-19,27.100000,27.200001,26.750000,27.000000,27.000000,3248712
2015-08-20,26.950001,26.950001,25.799999,25.950001,25.950001,6610407
2015-08-21,25.500000,25.850000,25.200001,25.650000,25.650000,2961504
2015-08-24,24.700001,24.700001,20.549999,21.049999,21.049999,12761656
2015-08-25,22.049999,22.299999,19.600000,21.400000,21.400000,13759131
2015-08-26,21.500000,22.200001,20.200001,21.750000,21.750000,6254397
2015-08-27,22.299999,23.650000,21.799999,23.200001,23.200001,14505044
2015-08-28,23.600000,23.900000,21.900000,22.600000,22.600000,7870151
2015-08-31,22.799999,23.150000,22.299999,22.500000,22.500000,5448679
2015-09-01,22.400000,22.400000,20.900000,21.100000,21.100000,6056504
2015-09-02,21.400000,21.549999,20.950001,21.100000,21.100000,5293087
2015-09-03,21.450001,22.250000,21.299999,21.950001,21.950001,4305438
2015-09-04,21.600000,21.750000,20.299999,20.900000,20.900000,6401625
2015-09-07,21.100000,21.350000,20.100000,20.750000,20.750000,10415186
2015-09-08,21.000000,22.100000,20.750000,21.750000,21.750000,5175322
2015-09-09,22.000000,22.400000,21.700001,22.049999,22.049999,6339578
2015-09-10,21.450001,22.500000,21.049999,22.100000,22.100000,5211079
2015-09-11,22.250000,22.600000,21.700001,22.350000,22.350000,5222058
2015-09-14,22.350000,23.900000,22.150000,23.400000,23.400000,8885930
2015-09-15,23.250000,23.549999,22.450001,22.900000,22.900000,7555898
2015-09-16,23.000000,23.549999,22.799999,23.450001,23.450001,5903824
2015-09-18,23.450001,24.400000,23.350000,23.600000,23.600000,8928503
2015-09-21,23.200001,24.950001,23.100000,24.799999,24.799999,7497083
